Symbol,DATE,Open Price,Prev Close,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades
RELIANCE,13-Apr-2016,1052.55,1047.4,1069.9,1052.55,1064.6,1066.05,1060.03,3666141,3886222311.15,96144
RELIANCE,18-Apr-2016,1065.8,1066.05,1066.8,1055.4,1063.05,1064.75,1061.15,4358102,4624603231.85,72390
RELIANCE,20-Apr-2016,1069.2,1064.75,1069.2,1035.8,1037.15,1037.3,1044.82,4957497,5179668392.85,159487
RELIANCE,21-Apr-2016,1041.4,1037.3,1052,1035,1039.5,1041.15,1042.52,2601436,2712047918.65,65460
RELIANCE,22-Apr-2016,1039,1041.15,1047.5,1029.3,1040.5,1038.95,1039.15,2675586,2780346365,83568
RELIANCE,25-Apr-2016,1044.45,1038.95,1044.45,1012.3,1014.55,1016.9,1019.84,13979586,14256999657.8,154748
RELIANCE,26-Apr-2016,1015.4,1016.9,1023.9,1007.5,1014.3,1016.95,1013.25,6041279,6121324711.65,91302
RELIANCE,27-Apr-2016,1017.9,1016.95,1025.95,1016,1018.45,1019.4,1021.78,3315060,3387251623.8,134641
RELIANCE,28-Apr-2016,1014,1019.4,1019.2,990.95,993.5,996.7,1005.46,14160507,14237803965.8,145782
RELIANCE,29-Apr-2016,993.45,996.7,998.55,978.85,980.9,982.7,987.1,5367060,5297844665.95,146902
RELIANCE,02-May-2016,979,982.7,992.4,978,987,986.95,986.75,2427753,2395582308.4,71546
RELIANCE,03-May-2016,988,986.95,994.95,972.75,975,975.8,982.83,4016624,3947642760,128285
RELIANCE,04-May-2016,974.05,975.8,983.7,973,976,978.1,979.17,3096453,3031966774.85,70953
RELIANCE,05-May-2016,980,978.1,983.45,970.9,974.9,975.25,976.77,4952411,4837354464.95,107343
RELIANCE,06-May-2016,973,975.25,976.8,967,969.15,968.95,971.08,3371220,3273738348.85,72457
RELIANCE,09-May-2016,975,968.95,986,972.8,983.3,983.1,981.2,3508088,3442124767.35,79373
RELIANCE,10-May-2016,983.1,983.1,984.7,978,982.3,982.55,981.5,1656840,1626181209.4,44767
RELIANCE,11-May-2016,971.8,982.55,980.75,970,974.1,975.4,976.47,2820699,2754314213.6,50564
RELIANCE,12-May-2016,976,975.4,994.2,975.05,993,992.8,986.82,2922714,2884182557.55,68535
RELIANCE,13-May-2016,988.95,992.8,990.55,975,975.95,978.15,981.35,3348353,3285903492.8,82572
RELIANCE,16-May-2016,977,978.15,982.5,971.1,974.5,975.95,976.4,2132072,2081760478.55,46086
RELIANCE,17-May-2016,980.25,975.95,983.1,966.35,967.45,969.15,973.96,2779023,2706668840.05,85318
RELIANCE,18-May-2016,965.9,969.15,972.5,964.1,970.05,970.55,969.99,1880974,1824529636.55,44676
RELIANCE,19-May-2016,971.7,970.55,971.9,945.6,947.35,951.2,960.71,2088058,2006009103.3,45052
RELIANCE,20-May-2016,952,951.2,954.5,931.35,933.4,934.2,943.02,4238988,3997447796.5,126939
RELIANCE,23-May-2016,937.35,934.2,940.7,925.65,931.1,930,932.46,4198098,3914538268,119010
RELIANCE,24-May-2016,928.05,930,944,928.05,941,940.45,939.86,2807737,2638876532.3,85430
RELIANCE,25-May-2016,949.85,940.45,952.8,941.15,949.65,951.2,948.1,2112135,2002517641.5,52041
RELIANCE,26-May-2016,950,951.2,952.4,944.1,947.3,946.85,947.62,3243601,3073707523.25,81624
RELIANCE,27-May-2016,949.05,946.85,976.9,948.75,973.1,974.7,966.82,3063379,2961741218.85,67215
RELIANCE,30-May-2016,976.4,974.7,981.5,965,965.8,968.7,972.17,2202091,2140805460.6,62587
RELIANCE,31-May-2016,969,968.7,973,956.5,959,957.85,959.97,5333469,5119973489.05,104315
RELIANCE,01-Jun-2016,957.95,957.85,966.1,951.8,952.7,953.6,959.2,2067034,1982696121.6,53205
RELIANCE,02-Jun-2016,954.5,953.6,957.15,945.1,955.35,956.25,950.47,2343852,2227760801.15,84845
RELIANCE,03-Jun-2016,960,956.25,962.9,955.85,958.75,959.65,959.64,1975712,1895977556.7,61330
