Symbol,DATE,Open Price,Prev Close,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades
TCS,13-Apr-2016,2530,2518.15,2545,2512.5,2528,2526.2,2524.85,800734,2021736752.75,51204
TCS,18-Apr-2016,2453,2526.2,2553.5,2440,2522.4,2519.75,2495.75,3560752,8886759956.75,185897
TCS,20-Apr-2016,2534.9,2519.75,2534.9,2440,2453,2450.35,2472.11,3202512,7916958058.35,118381
TCS,21-Apr-2016,2451,2450.35,2467.4,2412.2,2418.2,2424.4,2440.23,1262862,3081673106.25,64118
TCS,22-Apr-2016,2419,2424.4,2435.4,2404.2,2423.4,2417.05,2420.24,982063,2376831048.35,54414
TCS,25-Apr-2016,2402.3,2417.05,2457.05,2402.3,2453,2451.25,2441.63,1133827,2768388615.85,56820
TCS,26-Apr-2016,2449,2451.25,2493.5,2442,2488,2489.8,2473.61,1277184,3159254631.3,76806
TCS,27-Apr-2016,2480,2489.8,2514.6,2475.9,2511.5,2511.1,2502.32,924335,2312980759.75,58165
TCS,28-Apr-2016,2501.3,2511.1,2540,2498.1,2527,2527.75,2526.07,2496372,6306021297.4,93432
TCS,29-Apr-2016,2517,2527.75,2542,2510,2540.1,2535.5,2529.22,1186089,2999874438.9,78355
TCS,02-May-2016,2529,2535.5,2530,2500,2525.1,2526.7,2516.27,558346,1404946984.4,33410
TCS,03-May-2016,2525,2526.7,2530,2472,2473.9,2478.1,2496.18,1076559,2687283771.8,46517
TCS,04-May-2016,2473.9,2478.1,2494.05,2457,2478,2478,2472.4,682446,1687276873,32957
TCS,05-May-2016,2478,2478,2489.95,2463.55,2469.3,2470.3,2472.47,623283,1541048678.15,34994
TCS,06-May-2016,2465,2470.3,2484.3,2431,2479,2473.4,2456.6,442799,1087778645.55,29141
TCS,09-May-2016,2473.4,2473.4,2518,2456.4,2514.6,2512.55,2499.22,910638,2275885334.45,50476
TCS,10-May-2016,2515,2512.55,2533.95,2496,2522.9,2522.9,2515.63,579267,1457224317.35,47846
TCS,11-May-2016,2500,2522.9,2525.6,2490,2524.8,2518.3,2514.08,799358,2009648151.9,37888
TCS,12-May-2016,2520.55,2518.3,2569.9,2520.55,2566,2566.2,2554.51,756541,1932590566.45,52202
TCS,13-May-2016,2565,2566.2,2566,2510.15,2525,2523.4,2530.28,810865,2051718778.45,36862
TCS,16-May-2016,2538,2523.4,2564.8,2522.5,2552.75,2551.15,2543.39,555763,1413523384.3,38211
TCS,17-May-2016,2564.2,2551.15,2591.25,2552,2570,2570.2,2572.85,878349,2259857856.8,75704
TCS,18-May-2016,2565.85,2570.2,2565.85,2526.05,2553,2551.1,2543.29,750370,1908411835.35,48191
TCS,19-May-2016,2555,2551.1,2560,2526.1,2555,2556.95,2548.52,519396,1323692275.05,38811
TCS,20-May-2016,2542.3,2556.95,2565.8,2522.8,2529.9,2529.3,2542.91,615459,1565057535.9,43356
TCS,23-May-2016,2544,2529.3,2545.9,2480.2,2483,2491.45,2510.13,766508,1924036943.55,27319
TCS,24-May-2016,2484,2491.45,2488.25,2459.6,2468.6,2467.7,2467.63,669579,1652275660.35,30007
TCS,25-May-2016,2481,2467.7,2532.95,2481,2520.95,2526.45,2514.12,774339,1946783700.2,26986
TCS,26-May-2016,2530,2526.45,2564.9,2505.1,2560,2548.7,2537.2,971624,2465202922.3,59703
TCS,27-May-2016,2553.15,2548.7,2579.85,2550.6,2577,2572.65,2566.93,552338,1417814940.4,44676
TCS,30-May-2016,2583,2572.65,2641.95,2582,2636.05,2636.4,2617.5,674732,1766111536.45,46344
TCS,31-May-2016,2640,2636.4,2647,2562,2567.5,2569.4,2581.37,1861304,4804709389.7,84299
TCS,01-Jun-2016,2571.2,2569.4,2645,2571,2633.9,2633.55,2625.05,955971,2509470849.2,67647
TCS,02-Jun-2016,2600,2633.55,2654.3,2600,2654,2650.15,2635.94,704378,1856699431.4,57624
TCS,03-Jun-2016,2651.4,2650.15,2658,2620.5,2628,2629.55,2631.87,777461,2046178881.75,59436
TCS,06-Jun-2016,2620.5,2629.55,2639,2603.2,2610,2612.5,2618.59,661013,1730919629.55,35241
TCS,07-Jun-2016,2614,2612.5,2639,2613,2631.6,2631.15,2628.62,601097,1580055394.9,43777
TCS,08-Jun-2016,2617.25,2631.15,2628.55,2605.5,2615,2613.1,2615.77,469133,1227142241.65,26407
TCS,09-Jun-2016,2622.4,2613.1,2622.4,2555.2,2581.9,2577.25,2581.13,781069,2016042632.05,51060
TCS,10-Jun-2016,2566,2577.25,2603.25,2553.2,2554,2555.75,2571.67,698416,1796098182.05,46466
TCS,13-Jun-2016,2540,2555.75,2553.35,2518,2545.25,2547,2538.25,514989,1307170875.45,32894
TCS,14-Jun-2016,2558.95,2547,2558.95,2518.25,2540,2534.85,2531.47,488785,1237344284,55026
TCS,15-Jun-2016,2530,2534.85,2564.9,2522,2558.5,2556.85,2540.82,635422,1614492174.2,52990
TCS,16-Jun-2016,2545.55,2556.85,2564.7,2516.45,2557,2558.3,2539.78,572535,1454113954.05,59808
TCS,17-Jun-2016,2559,2558.3,2610,2559,2600,2602.6,2590.05,939494,2433336684.35,46942
TCS,20-Jun-2016,2602.6,2602.6,2668,2591.8,2657,2659.3,2647.08,936419,2478779488.85,50886
TCS,21-Jun-2016,2663.5,2659.3,2665,2641.4,2646,2651.2,2650.08,513845,1361728432.6,28193
TCS,22-Jun-2016,2650,2651.2,2677.7,2631.75,2661.05,2667.65,2660.15,880856,2343205233.4,44125
TCS,23-Jun-2016,2655,2667.65,2659.5,2625.3,2644.45,2645.35,2642.78,698507,1846002543.75,54736
TCS,24-Jun-2016,2565.15,2645.35,2593.2,2514.15,2568,2573.95,2559.15,1883293,4819631293.95,62715
TCS,27-Jun-2016,2547,2573.95,2547,2482.65,2496.7,2495.85,2499.2,2136283,5338993014.8,138232
TCS,28-Jun-2016,2495.85,2495.85,2502.9,2458.4,2464,2463.95,2479.12,2249762,5577424971.25,114662
TCS,29-Jun-2016,2475,2463.95,2512.5,2465.3,2500,2502.9,2489.12,1265632,3150311553.8,64129
TCS,30-Jun-2016,2522,2502.9,2562.9,2500.35,2548.05,2553.1,2532.82,2560906,6486314138.05,103449
TCS,01-Jul-2016,2562,2553.1,2564.6,2494.35,2498.75,2500.85,2526.66,1098648,2775910959,55236
TCS,04-Jul-2016,2516,2500.85,2525.85,2482,2485.35,2494.2,2507.92,941742,2361812587.55,50480
TCS,05-Jul-2016,2494.2,2494.2,2497.05,2477.15,2480.2,2485.3,2485.94,779874,1938717442.15,41404
TCS,07-Jul-2016,2487.7,2485.3,2491.85,2425,2428,2429.8,2452.12,1658400,4066588669.55,99668
TCS,08-Jul-2016,2435,2429.8,2442.05,2403.5,2430.1,2426.6,2425.89,1228178,2979419611.15,68484
TCS,11-Jul-2016,2430,2426.6,2471.8,2427,2469,2464.15,2455.17,771816,1894940180.8,55531
TCS,12-Jul-2016,2471.7,2464.15,2475,2435.85,2463.5,2464.95,2456.78,732768,1800249503.05,45288
TCS,13-Jul-2016,2478,2464.95,2499.25,2451.25,2485,2493.1,2485.6,1051150,2612735736.35,45710
TCS,14-Jul-2016,2486,2493.1,2529,2471,2520,2521.9,2506.46,1349994,3383702712.4,66642
TCS,15-Jul-2016,2517,2521.9,2527.8,2426.55,2445,2445.35,2464.2,4168183,10271219349.75,156804
TCS,18-Jul-2016,2447,2445.35,2469,2430.6,2431.15,2433.45,2444.65,1299425,3176641794.85,66016
TCS,19-Jul-2016,2427.5,2433.45,2472.8,2427.5,2466,2466.2,2452.39,1181448,2897373190.6,77753
TCS,20-Jul-2016,2450,2466.2,2502.5,2448.15,2493,2494.95,2488.38,1407626,3502708967.45,95969
TCS,21-Jul-2016,2489.5,2494.95,2519.5,2464.45,2506,2506.05,2492.08,1263574,3148924110.4,91340
TCS,22-Jul-2016,2498.9,2506.05,2524,2492,2514.95,2515.1,2510.5,758608,1904487472.6,65567
TCS,25-Jul-2016,2512,2515.1,2563.2,2505.8,2555,2558.95,2539.84,844398,2144638636.5,84598
TCS,26-Jul-2016,2558.95,2558.95,2568,2533,2550,2552.6,2547.81,1155645,2944362581.65,97504
TCS,27-Jul-2016,2555,2552.6,2580.4,2545,2578,2577.55,2570.12,875255,2249514103.75,72548
TCS,28-Jul-2016,2580.5,2577.55,2629.55,2577.05,2614.2,2619.25,2601.74,2316040,6025726969.7,96943
TCS,29-Jul-2016,2614,2619.25,2634.9,2599,2624.9,2619.3,2618.8,1244042,3257901003.85,79709
TCS,01-Aug-2016,2632,2619.3,2725,2632,2702.6,2708.25,2696.68,1980852,5341716553.35,88196
TCS,02-Aug-2016,2702.9,2708.25,2715.7,2689.8,2703.8,2699.2,2702.65,1289081,3483935382.2,101312
TCS,03-Aug-2016,2686,2699.2,2699,2649.05,2649.05,2656.3,2666.45,1147351,3059356734.7,86554
TCS,04-Aug-2016,2670,2656.3,2682.95,2636.25,2658,2652,2656.13,707708,1879761561.65,47274
TCS,05-Aug-2016,2673.9,2652,2684.3,2632,2643.45,2649.1,2657.26,934242,2482521653,62736
TCS,08-Aug-2016,2640,2649.1,2668,2629.05,2655,2649.5,2651.83,1029122,2729060314.25,65630
TCS,09-Aug-2016,2658,2649.5,2659.8,2578.85,2654.45,2650.2,2645.82,1130957,2992303331.2,133349
TCS,10-Aug-2016,2651,2650.2,2682,2648,2676,2675.4,2671.88,1031039,2754807946.1,61590
TCS,11-Aug-2016,2665.55,2675.4,2715,2665.55,2706.85,2709.9,2702.48,1116569,3017506737.25,72571
TCS,12-Aug-2016,2705,2709.9,2744.8,2702.05,2740,2738.45,2732.86,1163679,3180176255.45,85247
TCS,16-Aug-2016,2738,2738.45,2740,2673.85,2700,2691.7,2709.24,1591877,4312775600.65,116813
TCS,17-Aug-2016,2699,2691.7,2699,2618,2628,2624.55,2641.55,924283,2441537139.85,68405
TCS,18-Aug-2016,2635,2624.55,2657.55,2630.1,2631,2638.55,2648.64,646032,1711106603.1,47877
TCS,19-Aug-2016,2640,2638.55,2646.45,2600,2602.6,2603.5,2610.69,1208122,3154028235.45,59756
